ID,Age,Salary,JoinDate,Department,Score
94,38,31135,not_a_date,,67
95,44,34918,2018-03-06,Support,69
203,107,120160,2017-11-12,Sales,NaN
97,60,$60000,2020-02-27,VeryLongDepartmentName123,86
98,twenty five,50000 ,2019-01-22,sales,-10
99,65,42037,2016-04-12,Marketing,72
100,,,2015-11-05, SALES ,86
101,54,62363,2018-07-18, SALES ,90
102, 30 ,24929,2018-03-21,sales,82
103,65,126144,2018-08-09,MKT,80
104,,149890,2021-11-02, SALES ,74
105,58,104843,2018-03-09,Hr,87
106,62,$60000,2019-03-23,Support,92
107,23,67425,2017-01-08,HR,
108, 30 ,24947,2023-08-05,MKT,
109,20,51133,2023-06-09,Support!!,
110,54,56932,2020-11-30,Engineering,58
111,41,50000 ,2024-07-18,,82
112,32,141958,2019-06-12,Marketing,55
113,63,38035,,Support!!,50
114,,89176,32/13/2020,HR,NaN
115,twenty five,50000 ,not_a_date,Hr,65
116,51,50000 ,2020-09-10,Marketing,52
117,40,116068,2023-08-27,MKT,235
118,61,43891, 2023-07-10 ,,79
119,50,53202,2017-02-21,Hr,71
120,65,64438,2020-07-30,human resources,96
121,29,30494,2018-06-09,Engg,NaN
122,40,100589,2019-07-22,human resources,59
123,26,68015,2021-05-12,Sales,73
124,173,52717,not_a_date,Engg,57
125,57,84382,2017-03-30,Engg,93
126,22,abc, 2023-07-10 ,VeryLongDepartmentName123,82
127,twenty five,68353,2021-03-09, SALES ,NaN
128,44,abc,,Support,-10
129,45,128972,2018-05-30, SALES ,64
130,34,55972,2021-11-21,Marketing,87
131,64,141101,2021-04-27,sales,
132,49,104136,2024-01-10,,93
133,47,60970,2023-03-27,,252
134,24,55058,,,
135,28,135222,2016-01-04,Engineering,63
136, 30 ,81680,2024-07-02,sales,96
137,43,50000 ,2024/05/01,Engg,-10
138,43,93116,2017-03-26,MKT,52
366,27,62987,2019-05-29,MKT,82
140,37,abc,,MKT,66
141,55,$60000,2024-06-07,Engineering, 85 
142,27,50000 ,2020-04-15,,83
143,42,89878,2022-07-31,,62
144,171,110471,2020-05-19,human resources,-10
145,27,$60000,2019-12-17,Support,-10
146,53,51779,2020-12-15,HR,NaN
147,26,40701,2024-11-16,VeryLongDepartmentName123,98
148,23,$60000,2015-06-02,VeryLongDepartmentName123,61
149,29,141377,2015-02-07,Hr,71
150,26,45272,not_a_date,Support!!,50
151,30,137577,2020-10-11,human resources,61
152,18,abc,2023-02-08,MKT,94
153,28,137324,2018-06-27,Support!!,64
154, 30 ,139642,2023-12-29,Support,88
155,63,34707,2020-09-01,HR,287
156,63,50000 ,2020-02-01, SALES ,53
157,43,,,human resources,53
158,twenty five,$60000,2019-09-18,human resources,74
159,26,43392,2016-06-05,Support!!,69
160,42,abc, 2023-07-10 ,,76
161,19,108083,2017-09-29,Support!!,84
162,36,95511,2023-08-31,Support,59
163,35,135305,2022-01-08,Support,72
164,38,59306,2024/05/01,Engg,95
165,44,, 2023-07-10 ,sales, 85 
166,56,44662,2023-02-14,Support,71
167,65,82773,2022-11-22,HR,99
168,37,85179, 2023-07-10 ,Engg,73
169,65,50000 ,2018-04-24, SALES ,-10
170,61,84044,2020-07-02,Engg, 85 
171,21,29742,2023-07-28,Sales,64
172,twenty five,107392,2022-05-24,Engg,76
272,36,108346,2017-01-04,sales,
174,twenty five,80161, 2023-07-10 ,HR,91
175,53,112123,,Support,56
176, 30 ,82324,2021-02-02,MKT,158
107,63,59226,2021-05-10,,98
178,192,129926,2023-08-16,MKT,70
140, 30 ,109088,2015-12-18,,95
180,58,67277,32/13/2020,Engg,73
181,44,50000 ,2023-10-19,human resources,NaN
182,33,3185670,32/13/2020,Hr,NaN
183,41,$60000,2017-03-11,Engg,75
184,39,127942,2021-08-31, SALES ,94
185,38,84357,2018-08-27,Engineering,86
186,53,143597,32/13/2020,,100
187,163,113747,2015-10-30,Engg,84
188,41,97833,2016-03-23,,-10
331,39,21382,2024/05/01,Support!!,86
190,61,65215,2018-04-25,Engineering,96
191,31,32795,2020-01-28,human resources, 85 
192,,,2024/05/01,Engineering,90
193,19,78926,2015-01-19,Support!!, 85 
194, 30 ,79972,,Marketing,89
195,47,112535,2024/05/01,MKT,65
196,50,95340,2020-06-16,Support,81
197,57,21256,,Marketing,81
198, 30 ,58284,2024/05/01,Hr,99
199,53,149878,2023-06-27,Sales,77
200,59,127050,2016-04-25,,87
201,28,126630,2021-05-24,human resources,60
202,137,137985,2016-07-09,,67
203,33,52447,2019-05-28,Engg,90
204,23,111056,2020-06-22,human resources,96
205,40,72129,2024-04-01,HR,68
206,49,119910, 2023-07-10 ,,
207,,134612, 2023-07-10 ,human resources,91
208,62,31953,not_a_date,Engg,83
209,25,37324,,sales,176
210,26,50000 , 2023-07-10 , SALES ,90
211,31,31362,2018-12-10,Engineering, 85 
212,56,23515,2024-10-27,Hr,62
213,,2618521,2020-12-03,VeryLongDepartmentName123,58
214,61,149416,2024/05/01,sales,50
215, 30 ,72727,2021-01-11,MKT,59
216,43,105175,2018-06-24,Support!!,77
217,21,117079, 2023-07-10 , SALES ,152
218,,116067,2024-12-09,human resources,66
219,twenty five,50000 ,2017-11-10,,57
220,50,70197,2016-09-06,Marketing,
221,64,$60000,2024/05/01,Sales,68
222,twenty five,50000 ,2021-12-25,HR,81
223,33,23133,2022-02-17,,50
224,24,75026,2016-08-06,Support!!,
225,41,80091,,sales, 85 
226,137,129038,2020-01-29,Hr,58
227,,35825,2023-08-22,HR,57
228,62,abc,not_a_date,human resources,281
229,46,32415,not_a_date,sales,64
230,59,140249,2024-02-12,HR,55
231,twenty five,76774,2020-07-25,Sales,
232,27,52215,,VeryLongDepartmentName123,272
233,51,91258,,,100
234,35,48707,2023-09-24,Hr,99
235,,140227,not_a_date,MKT,61
236,62,112202,2021-05-14,MKT,81
237,29,50000 ,2024/05/01,HR,70
238,27,132809,2019-03-11,Support!!,71
239,45,105089,2024/05/01,Support!!,-10
240,36,144359,2019-05-23,,-10
241,24,$60000,32/13/2020, SALES ,92
242,,abc,2023-10-29,Sales,60
243,42,133252,2022-09-15,HR,60
244,22,41090,2023-03-18,human resources,77
245,28,147716,2021-03-19,Support!!,288
246,53,abc,2018-04-21,,92
247,48,72096,2022-05-31,Hr,73
248,34,abc, 2023-07-10 ,Support,84
249,42,90190,2020-04-28,MKT,NaN
250,51,101300,, SALES ,58
41,,$60000,,Marketing,67
252,55,74321,2024/05/01,MKT,86
253,44,94976,2016-12-06,Hr,93
254,39,1996479,2015-03-24,human resources,81
255,32,78079,2018-01-08,Support!!,
256,51,87537,32/13/2020,Support!!,-10
257,,1241707,2022-11-26,HR,82
258,187,145897,2021-03-08,human resources,66
259,twenty five,122213,2022-04-05,HR,NaN
260,26,21109,32/13/2020,Support!!,74
261,132,72055,2024/05/01,Support,88
262,39,132917, 2023-07-10 ,VeryLongDepartmentName123,-10
263,38,105904,2017-11-28,VeryLongDepartmentName123,52
264,63,122878,2022-07-14,human resources,92
265,,93273,2022-08-16,VeryLongDepartmentName123,
266,39,80786,2024-07-18,,89
267,twenty five,134143,not_a_date,human resources,79
268,49,61079,,Hr,60
269,58,82573,2024/05/01,HR,70
270,51,$60000,2016-06-12,sales,60
271,47,64280,2016-07-02,human resources,60
272,,50000 , 2023-07-10 ,Support,90
273,52,22587,2019-09-04,Engg,80
274,18,106832,2024/05/01,Support!!,56
275,57,121968,2017-04-06,human resources,95
276,39,50737,2022-07-03,Engg,54
277,47,149586,2024-10-20,Sales,70
278,20,$60000,2019-11-28,MKT,71
279,35,82684,2024-12-08,, 85 
280,55,77430,2023-09-27,human resources,96
281,25,28301,2015-02-20,Support!!,86
282,51,32483,2017-10-15,Engg,-10
283,,84990,,human resources,53
284,33,95108,,Engg,97
285,53,123780,2022-02-24,Hr, 85 
286,32,120586,2023-01-14,Support, 85 
287,36,33935,2020-07-09, SALES ,-10
288,,2417396,2024-05-23,Support,78
289,twenty five,92512,2020-06-01,VeryLongDepartmentName123,61
290,56,135525,2021-10-30,VeryLongDepartmentName123,213
291, 30 ,59179,2024-08-26,human resources,62
292,61,145609,2022-10-14,Support,85
293,61,57477,2024-01-24,Sales,
294,,39192,32/13/2020,HR,NaN
295,32,51142,2023-12-16,Support!!,74
296,21,50000 ,2024-10-04,Engg,84
297,30,$60000,not_a_date,Support!!,77
298,116,142879,32/13/2020,MKT,86
299,51,123056,2024/05/01,Marketing,63
300, 30 ,127962,2015-02-06,sales,91
301,61,124360,2021-01-21,Support!!,99
302,36,50000 ,2016-11-16,,84
303,twenty five,$60000,2023-09-11,Engineering,59
368,39,43329,2017-11-25,Engineering,77
305,42,119085,2022-11-10,,56
306,36,71788,2020-04-25, SALES ,NaN
307,27,146532,2022-04-07,human resources,59
308,52,,2023-02-21,human resources,82
309,34,50000 ,2024/05/01,Engg, 85 
310,49,107988,32/13/2020,MKT,78
311,27,61462,32/13/2020,HR,91
312,39,67020,2021-03-09,sales,58
313,58,30022,2015-05-08,,87
314, 30 ,67948,2024/05/01,Support!!,82
315,,109674,2016-07-28,Engg,86
316,40,50375,not_a_date,Sales,100
317,20,112240,2018-01-25,,86
318,59,abc,2017-07-01,Marketing,72
319,,50000 ,not_a_date, SALES ,57
320,48,97436,2019-08-11,Sales,-10
321, 30 ,,2021-09-20,MKT,96
322, 30 ,48752,2016-08-07,,82
323,47,3477139,2019-04-28,HR,59
324,56,85972,,Support,99
325,20,143000,2023-08-15,Engineering,98
326,34,82539,2021-02-05,Engineering, 85 
327,54,abc,2016-09-25,Engineering,-10
328,twenty five,122732,2019-02-25,Marketing,273
329,60,$60000,2024/05/01,Engineering,89
330,63,81822,2015-09-20,Hr,64
331,36,,2015-02-13,HR,92
332,57,,not_a_date,sales,75
333,30,115176,2021-07-15,human resources,
334,,73363,2020-08-22,,100
335,54,abc,2020-03-02,VeryLongDepartmentName123,66
336,61,74057,2015-02-09,Support!!,NaN
337,29,137219, 2023-07-10 ,Support,65
338,,122097,2016-03-12,Support,98
339,38,137571,2020-07-03, SALES ,
340,45,85860,2022-09-12,,94
341,,abc,2017-02-05,Marketing,-10
342,44,131978,not_a_date,MKT,56
343,42,116802,2015-02-09, SALES , 85 
344,37,26253,not_a_date,Sales,90
345,142,53779,2018-11-10,human resources,91
346,199,116537,2019-04-10,MKT,59
347,57,29351,not_a_date,human resources,88
348,41,79020,2019-08-23, SALES ,97
349,23,82021,,Marketing,-10
350,33,36569,2016-11-29,Sales,70
351,53,111438,2024/05/01,Engg,90
352,32,67943,32/13/2020,Sales,58
353,twenty five,21197,2018-04-14,MKT,62
354,28,128583,2019-03-30,Engineering,89
355, 30 ,131867,32/13/2020,sales,67
356,27,26505, 2023-07-10 ,Engg,
112,49,24159,not_a_date,Sales,NaN
358,25,70436,2017-10-09,Support!!,99
359,61,40789,2023-05-09,VeryLongDepartmentName123,NaN
360,60,1473656,32/13/2020,MKT,50
361,62,31728,2017-10-15,Support,98
362,62,4319650,2021-04-06,,78
363,64,83609,2018-04-22,Marketing,
364,56,29027,32/13/2020,,50
365,19,101290,2015-09-17,Support, 85 
366,38,32616,2015-06-29,,62
367,twenty five,111922,32/13/2020,HR,
368,21,136710,2023-11-28,Support!!,96
369,51,89685,2024/05/01,Support,61
370,58,112084,2016-03-02, SALES ,82
371,46,92100,2019-08-16,,70
372, 30 ,4122987,2015-01-01,Support!!,83
373,32,121125,2024-03-22,Hr,86
374,26,52749,32/13/2020,sales,63
375,29,112123,2016-01-26,MKT,-10
376,45,134004, 2023-07-10 ,,90
377, 30 ,111457, 2023-07-10 ,Support!!,86
378,twenty five,82371,2021-02-23,Engineering,77
379, 30 ,94885,2023-04-02,Marketing,NaN
380,twenty five,62039,2015-04-10,,89
381,46,$60000, 2023-07-10 ,,65
382,27,63499,2017-05-17,HR,85
383,60,106969,not_a_date,Sales,89
384,22,$60000,2015-03-20,Hr,NaN
385,49,44434,2020-02-19,Marketing,-10
386,19,101950,2024/05/01,Hr,51
387,twenty five,1575713,2021-11-13,,86
388,52,96156,2017-04-08,,83
389, 30 ,93051,2016-04-29, SALES ,98
390,65,142322,not_a_date,sales,-10
391,56,67089,2020-05-06, SALES ,73
392,28,45330,2017-06-30,Support!!,54
393,38,76040,2021-10-26,Support!!,97
394,63,79193,2015-06-23,VeryLongDepartmentName123,97
199,21,135919,2018-03-17,Engg,60
396,46,43562,2022-10-22,Marketing,78
233,47,105010,2023-01-21,Support!!,NaN
398,64,40958,2015-06-29,,92
399,28,120745,not_a_date,sales,201
255,56,50000 ,2019-08-07,Engg,-10
401,31,$60000,2018-11-30,Support,55
214,57,95010,2020-02-09,Support!!,55
403,22,28509,2016-05-14,Support!!,83
404, 30 ,31491,2021-10-13,VeryLongDepartmentName123,70
405,26,115575,2024-01-23, SALES ,62
13,65,74346,32/13/2020,Marketing,
407,50,34920,2019-06-11,Support!!,62
408,48,83110,2024-09-13,Marketing,76
409,166,50000 ,2024-12-16,,67
410,28,98012,2023-06-06,Hr,67
411,37,34710,2023-09-21,HR,80
412,48,121650,2018-09-02,,83
413,166,97894,,VeryLongDepartmentName123,92
414,58,45237,32/13/2020,,
415,24,61744, 2023-07-10 ,,68
416,26,26613,2015-12-19,Engineering,87
417,40,113441,2020-12-25,sales,55
418,159,81000,not_a_date, SALES ,75
419,38,3044751,2020-03-04,,88
420,63,105124,2020-12-22,Engg,
421,,122801,2018-11-02,Marketing, 85 
422,25,92756,2016-12-22,Hr,93
423,60,,2023-06-20,Support,78
424,30,59286,2022-08-15,Hr,87
262,21,26963,2024-03-15,human resources,65
426,63,91449,2020-04-29, SALES ,73
427,60,$60000,,Support, 85 
428,45,75590,2019-04-25,human resources,50
429,35,68099,2021-05-16,Engg,NaN
430,51,122088,2015-11-17,Marketing, 85 
431,52,26917,2015-02-14,Engg,86
432,36,50000 ,2023-10-21,MKT,87
433,65,101830,2024-07-19,,214
434,56,39809,2024-01-22, SALES ,83
435,56,4446559,2023-08-22,Engineering,60
436,144,,2018-05-19,Engg, 85 
437,twenty five,78827,2020-12-11,Support,90
438,35,63904,2019-05-22,Engg,87
439,29,61060,,sales,72
440,36,50000 ,2017-06-07,MKT,57
441,59,137440,2017-11-03,Hr,67
442,38,56344,,human resources,66
443,30,2646828,,HR,95
444,109,2870164,2015-01-04,VeryLongDepartmentName123, 85 
445,twenty five,115389,2015-10-15,Marketing,94
446,40,27234,2022-04-04,sales,71
447,59,146813,2018-05-09,Support!!,72
448,26,50000 ,2015-09-16,,78
449,39,123255,2022-06-26,Marketing,-10
450,49,140326, 2023-07-10 ,Support,58
451,55,34965,2021-11-26,HR,97
452,54,146444,2023-11-23,MKT,235
453,53,50000 , 2023-07-10 ,MKT,NaN
454,63,74555,2023-08-31,Engg, 85 
455,,,2015-12-27,Support,50
456,24,149339,2020-03-16,,
457,48,85210,2018-03-13,HR,98
458, 30 ,83577,not_a_date,Support!!,62
459,38,1411310,not_a_date,sales,77
460,158,102840,2017-04-08,human resources,53
461,28,abc, 2023-07-10 ,MKT,64
462,31,56591,2023-04-04,,87
463,18,1185489,2015-05-18,Engineering,94
464, 30 ,73296,32/13/2020,HR, 85 
465,65,80786, 2023-07-10 ,Engineering,95
466,62,3226841,2024/05/01,Marketing,55
467,50,136389,32/13/2020,Engg,61
468,31,38141,2023-06-09,MKT,98
469,45,abc,2020-11-27,,93
470,61,143322,,sales,68
471,22,134687,2022-01-13,Sales,84
472,65,104500,2017-08-09,,71
473,62,80031,2023-11-08,Hr,216
474,47,41075,2017-01-16, SALES ,95
163,41,24546,2018-11-09, SALES ,60
476,49,141610, 2023-07-10 ,Marketing,68
477,54,115491,2016-04-05,Support!!,-10
478,32,78454,2021-07-17,Marketing,64
479,23,84286,2020-09-26,Sales,95
480,36,78402,2017-06-02,Support!!,68
481,44,31282,,,-10
482,35,113093,2016-07-14,HR,NaN
424,53,116974, 2023-07-10 ,, 85 
484,62,abc,2015-10-01,MKT,86
485,62,116070,32/13/2020, SALES ,NaN
486,145,145194,32/13/2020,Marketing,99
487,52,130755,2018-01-16,Support,-10
488,101,64605,not_a_date,Marketing,85
489,62,4366265,not_a_date,VeryLongDepartmentName123,94
490,39,117577,not_a_date,,69
491,25,119265,2019-11-02,Sales,80
492,34,140599,not_a_date, SALES ,
493,28,100341,2015-10-07,sales,95
494,52,,2020-04-28,human resources, 85 
495,45,48085,2016-05-21,Engg,283
496,192,79892,2022-09-15,,68
497,48,21675,2016-03-06,Engineering,55
498,24,42114,2017-03-26,human resources,NaN
499,55,124986,2018-12-29,Engg,82
500,twenty five,37643,2015-05-02,,61
501, 30 ,106649,2020-07-09,,NaN
502,52,24141,2016-05-02,Engineering,78
503,37,3961426,2019-05-13,Engg,81
504,48,93695,2024/05/01,Engineering,68
505,175,23525,2018-10-29,Engineering,72
506,,139326,32/13/2020,sales,193
337,44,97068,2019-03-28,MKT,81
508,50,41840,,HR,84
509, 30 ,$60000,2021-06-26,sales,-10
510,48,125398,2021-01-20,human resources,89
511,19,44450,2022-05-30,, 85 
512,54,,2017-09-11, SALES ,76
513,twenty five,,2017-08-25,Engineering,65
514,45,46475,2016-10-14,Hr,61
515,19,61144,2021-09-30,VeryLongDepartmentName123,55
516, 30 ,88414,2023-09-10,VeryLongDepartmentName123,55
517,39,125623,2019-09-29,HR,177
518, 30 ,61482,2022-08-28,HR,95
519,56,124718,2023-11-05,Support,69
520,61,132413,2019-05-29,VeryLongDepartmentName123,
521,59,73253,2020-07-06,Engg,71
522,50,115581,2018-08-31,Engg,91
523,26,abc,2016-03-29, SALES ,99
524,38,37499,2024/05/01,,NaN
525,54,140994,2022-01-10,HR, 85 
526,56,abc,2016-04-25,Sales,79
527,,122514,,Engineering,88
528,44,23771,2017-08-22,MKT,93
529,38,47815,2019-09-30,Support!!,-10
530,40,125152,2024-01-31,Sales,74
531,53,,2018-10-21,VeryLongDepartmentName123, 85 
532,27,147581,32/13/2020,VeryLongDepartmentName123,66
533,28,120096,2022-05-16,Support,78
534,twenty five,141530,32/13/2020,Support!!,57
535,31,,2018-01-22,MKT,92
536,22,32360,2018-03-10,Support,87
537,24,82895,2018-01-08,MKT,52
538,64,47704, 2023-07-10 ,Hr,85
539,29,31690,2016-10-29,Engineering, 85 
540,65,109779, 2023-07-10 ,sales,NaN
541,45,68265, 2023-07-10 ,Engineering,79
542,49,31006,2015-11-21,VeryLongDepartmentName123,
543,36,140232,2020-09-22,Engineering,96
544,34,$60000,2023-10-26, SALES , 85 
545,60,64739,2017-05-14, SALES ,56
546,18,110676,2023-05-07,MKT,89
547,37,,2022-10-21,HR,59
548,52,80742,2015-03-31,sales,78
549,55,1844474,2016-02-25,Support,81
550,36,87286,2022-08-11,VeryLongDepartmentName123,83
296,twenty five,50000 ,2022-10-28,Engineering,
552,55,98918,2022-05-14,Engg,74
553,48,,2015-12-20,Support,
554,49,59800,2017-12-04,human resources,-10
33,,abc,2023-08-18,Sales,
556,63,124724,2023-06-23,sales,52
557,,abc,2020-09-03,Engg,175
558,46,20863,2020-04-24,human resources,279
559,33,75275,,Engineering,83
560,18,29120,2019-07-04,,60
561,21,124735,2018-04-26,Engineering,96
562,51,4860649,2024-12-14,Marketing,100
563, 30 ,117000,2024/05/01,Hr,69
564, 30 ,abc,2020-08-31,sales,66
565,40,20683,2017-08-25,,90
566,36,95073,,Marketing,-10
567,twenty five,128584,2020-05-04,HR,83
568,34,77682,2020-06-28,Support!!,
569,50,,2023-05-16, SALES ,57
570, 30 ,35432,2019-03-14,Hr,
571,153,$60000,2024/05/01,human resources,86
572,48,37407, 2023-07-10 ,Engg,59
573,60,137996,2015-07-07,Support,60
574,63,104399,2024/05/01,Marketing,83
575,25,146140,not_a_date,HR,84
576,43,64558,2019-04-14,Hr,84
577,27,108946,32/13/2020, SALES ,51
578,44,50000 ,2024/05/01,,67
579,48,139765,2024/05/01,MKT,-10
580,46,46667,2019-03-10,Marketing,77
581,twenty five,105597,,Hr,74
582,50,50000 ,2021-04-25,Engineering,96
583, 30 ,109404,2023-06-11,Support!!,219
584,62,99794,2020-05-05,Support,94
585,43,126962,2016-05-20,human resources,99
586,30,78271, 2023-07-10 ,human resources,90
587,twenty five,2522528,2017-05-06,Sales,251
588,60,99032,2024/05/01, SALES ,-10
589,30,$60000,2017-11-01,Support,NaN
590,38,55918,2020-03-26,Engg,96
591,38,20676,2015-04-14,Support!!,65
592,39,23148,2018-10-01,,
593,33,101207,2022-01-05,Engg,87
594,62,4282656,2022-01-08,Engineering,85
595,twenty five,106471,,Engg,89
596,47,34156, 2023-07-10 ,sales,58
597,64,,not_a_date,Hr,91
598,27,64944,2015-02-03,Marketing,-10
599,30,46379,not_a_date,Support,71
600,44,63072,2020-07-24,Support,63
601,39,72469,2015-01-28,human resources,85
602, 30 ,147835,32/13/2020, SALES ,71
603,,22751,2019-04-02,Support,63
604,60,124729,2024-11-06,Support!!,
605,41,103380,2023-07-23,MKT,68
606,131,146928,2017-05-07,Support!!,89
607,59,88012, 2023-07-10 ,human resources,81
608,55,,2019-06-10,HR,86
609,26,50000 ,2018-12-11,Engg,79
610,42,54815,2022-03-28,Hr,55
611,112,,2018-05-24,Support!!,-10
612,34,abc,2019-07-20,,82
613,,123019,2023-02-07,,70
614,44,93196,2021-06-23,,50
615,44,119987,2018-05-12,human resources,52
616,56,71234,,sales,84
617,23,43283,2021-10-07,Engg,NaN
618,22,21447,2019-08-10,Engineering,NaN
619,31,4650928,2020-04-28, SALES ,87
620,30,128079,2017-10-08,Marketing,79
621,twenty five,123854,2024-03-26,,-10
622,29,$60000,not_a_date,Hr,90
623,44,abc,2020-08-28,,60
624,22,80542,2019-06-24,,251
625,47,50000 ,, SALES ,60
626,56,30169,2022-08-06,Hr,63
627,61,104018,2016-02-26,Engineering,88
396,,69105,2015-03-01,human resources,62
629,20,abc,2017-02-15,MKT,77
630,29,21570,not_a_date,sales,73
454,56,123712,2017-10-28,sales,94
632,58,148191,2015-10-04,human resources,82
633,18,137542,2023-04-11,Engineering,53
634,twenty five,$60000,2019-12-23,Support!!, 85 
635,44,104940,2018-09-18,human resources,92
636,56,44057,2015-09-22,,53
637,,142134,2017-04-17,Engineering,96
638,37,103309,,sales,80
639,27,119867,2015-12-07,, 85 
640,36,29429,,HR,-10
641,44,68908,2022-03-10,MKT,57
642,twenty five,118510,2022-12-14,Engg,91
643,twenty five,102700,2022-10-27,Support,NaN
644, 30 ,21617,2022-03-24,Support!!,55
645,twenty five,146836,2019-04-17,MKT,96
646,40,,2018-06-15,Sales,60
647,36,abc,2017-03-22,Engg,78
648,,4184167,2022-01-01,sales,90
649,55,119684,32/13/2020,,52
650,51,4193391,2021-10-11,Engineering,71
651,42,134436,2015-01-13,Engg,58
63,33,106360,2019-08-20,Support,70
185,46,116889,2018-11-27,Engineering,68
654,54,24160,2015-12-23,Hr,79
655,52,$60000,,Support!!,70
656,60,36134,2024/05/01,Support, 85 
657,56,139297,2023-02-17,Engineering,77
658,32,97620,2016-04-20,MKT,74
659, 30 ,75535,2023-12-11,Support,88
660,twenty five,58905, 2023-07-10 ,Engg, 85 
661,37,$60000,2024-04-17,HR,74
662,31,49500,2024-09-14,,69
663,53,82052,2019-05-21,sales,
664,150,125522,2022-12-16,Hr,78
665,,$60000,2022-08-10,,77
666,twenty five,50000 ,2019-11-12, SALES ,90
667,29,110674,2016-01-03,, 85 
668,18,86813,2024/05/01,MKT,56
669,59,,2023-01-02,VeryLongDepartmentName123, 85 
285,49,90645,2022-04-23,sales,57
671, 30 ,25130,2022-04-27, SALES ,55
672, 30 ,106266,2015-01-01,Marketing,78
673,40,110168,2015-07-03,HR,
674,170,75314,2017-12-03,Engineering,55
675,27,$60000,2022-10-25,Support,91
676,27,23396,32/13/2020,sales,76
677,39,,,HR,57
678,49,94993,32/13/2020,MKT,NaN
679,52,72776,2017-11-27,Sales,92
680,21,68516,2022-08-09,MKT,267
681,twenty five,141085, 2023-07-10 ,,70
682,,143845,2021-03-19,VeryLongDepartmentName123,77
