"ID","Age","Salary","JoinDate","Department","Score","Salary_missing_flag"
142,27,"50000 ",2020-04-15,"Engg",83,0
143,42,"89878",2022-07-31,"Engg",62,0
144,87.5,"110471",2020-05-19,"human resources",29.5,0
145,27,"$60000",2019-12-17,"Support",29.5,0
146,53,"51779",2020-12-15,"HR",77,0
147,26,"40701",2024-11-16,"VeryLongDepartmentName123",98,0
148,23,"$60000",2015-06-02,"VeryLongDepartmentName123",61,0
149,29,"141377",2015-02-07,"Hr",71,0
150,26,"45272",NA,"Support!!",50,0
151,30,"137577",2020-10-11,"human resources",61,0
152,18,"abc",2023-02-08,"MKT",94,0
153,28,"137324",2018-06-27,"Support!!",64,0
154,30,"139642",2023-12-29,"Support",88,0
155,63,"34707",2020-09-01,"HR",100,0
156,63,"50000 ",2020-02-01," SALES ",53,0
157,43,NA,NA,"human resources",53,1
158,42,"$60000",2019-09-18,"human resources",74,0
159,26,"43392",2016-06-05,"Support!!",69,0
160,42,"abc",2023-07-10,"Engg",76,0
161,19,"108083",2017-09-29,"Support!!",84,0
162,36,"95511",2023-08-31,"Support",59,0
163,35,"135305",2022-01-08,"Support",72,0
164,38,"59306",NA,"Engg",95,0
165,44,NA,2023-07-10,"sales",85,1
166,56,"44662",2023-02-14,"Support",71,0
167,65,"82773",2022-11-22,"HR",99,0
168,37,"85179",2023-07-10,"Engg",73,0
169,65,"50000 ",2018-04-24," SALES ",29.5,0
170,61,"84044",2020-07-02,"Engg",85,0
171,21,"29742",2023-07-28,"Sales",64,0
172,42,"107392",2022-05-24,"Engg",76,0
272,36,"108346",2017-01-04,"sales",77,0
174,42,"80161",2023-07-10,"HR",91,0
175,53,"112123",NA,"Support",56,0
176,30,"82324",2021-02-02,"MKT",100,0
107,63,"59226",2021-05-10,"Engg",98,0
178,87.5,"129926",2023-08-16,"MKT",70,0
140,30,"109088",2015-12-18,"Engg",95,0
180,58,"67277",NA,"Engg",73,0
181,44,"50000 ",2023-10-19,"human resources",77,0
182,33,"3185670",NA,"Hr",77,0
183,41,"$60000",2017-03-11,"Engg",75,0
184,39,"127942",2021-08-31," SALES ",94,0
185,38,"84357",2018-08-27,"Engineering",86,0
186,53,"143597",NA,"Engg",100,0
187,87.5,"113747",2015-10-30,"Engg",84,0
188,41,"97833",2016-03-23,"Engg",29.5,0
331,39,"21382",NA,"Support!!",86,0
190,61,"65215",2018-04-25,"Engineering",96,0
191,31,"32795",2020-01-28,"human resources",85,0
192,42,NA,NA,"Engineering",90,1
193,19,"78926",2015-01-19,"Support!!",85,0
194,30,"79972",NA,"Marketing",89,0
195,47,"112535",NA,"MKT",65,0
196,50,"95340",2020-06-16,"Support",81,0
197,57,"21256",NA,"Marketing",81,0
198,30,"58284",NA,"Hr",99,0
199,53,"149878",2023-06-27,"Sales",77,0
200,59,"127050",2016-04-25,"Engg",87,0
201,28,"126630",2021-05-24,"human resources",60,0
202,87.5,"137985",2016-07-09,"Engg",67,0
203,33,"52447",2019-05-28,"Engg",90,0
204,23,"111056",2020-06-22,"human resources",96,0
205,40,"72129",2024-04-01,"HR",68,0
206,49,"119910",2023-07-10,"Engg",77,0
207,42,"134612",2023-07-10,"human resources",91,0
208,62,"31953",NA,"Engg",83,0
209,25,"37324",NA,"sales",100,0
210,26,"50000 ",2023-07-10," SALES ",90,0
211,31,"31362",2018-12-10,"Engineering",85,0
212,56,"23515",2024-10-27,"Hr",62,0
213,42,"2618521",2020-12-03,"VeryLongDepartmentName123",58,0
214,61,"149416",NA,"sales",50,0
215,30,"72727",2021-01-11,"MKT",59,0
216,43,"105175",2018-06-24,"Support!!",77,0
217,21,"117079",2023-07-10," SALES ",100,0
218,42,"116067",2024-12-09,"human resources",66,0
219,42,"50000 ",2017-11-10,"Engg",57,0
220,50,"70197",2016-09-06,"Marketing",77,0
221,64,"$60000",NA,"Sales",68,0
222,42,"50000 ",2021-12-25,"HR",81,0
223,33,"23133",2022-02-17,"Engg",50,0
224,24,"75026",2016-08-06,"Support!!",77,0
225,41,"80091",NA,"sales",85,0
226,87.5,"129038",2020-01-29,"Hr",58,0
227,42,"35825",2023-08-22,"HR",57,0
228,62,"abc",NA,"human resources",100,0
229,46,"32415",NA,"sales",64,0
230,59,"140249",2024-02-12,"HR",55,0
231,42,"76774",2020-07-25,"Sales",77,0
232,27,"52215",NA,"VeryLongDepartmentName123",100,0
233,51,"91258",NA,"Engg",100,0
234,35,"48707",2023-09-24,"Hr",99,0
235,42,"140227",NA,"MKT",61,0
236,62,"112202",2021-05-14,"MKT",81,0
237,29,"50000 ",NA,"HR",70,0
238,27,"132809",2019-03-11,"Support!!",71,0
239,45,"105089",NA,"Support!!",29.5,0
240,36,"144359",2019-05-23,"Engg",29.5,0
241,24,"$60000",NA," SALES ",92,0
242,42,"abc",2023-10-29,"Sales",60,0
243,42,"133252",2022-09-15,"HR",60,0
244,22,"41090",2023-03-18,"human resources",77,0
245,28,"147716",2021-03-19,"Support!!",100,0
246,53,"abc",2018-04-21,"Engg",92,0
247,48,"72096",2022-05-31,"Hr",73,0
248,34,"abc",2023-07-10,"Support",84,0
249,42,"90190",2020-04-28,"MKT",77,0
250,51,"101300",NA," SALES ",58,0
41,42,"$60000",NA,"Marketing",67,0
252,55,"74321",NA,"MKT",86,0
253,44,"94976",2016-12-06,"Hr",93,0
254,39,"1996479",2015-03-24,"human resources",81,0
255,32,"78079",2018-01-08,"Support!!",77,0
256,51,"87537",NA,"Support!!",29.5,0
257,42,"1241707",2022-11-26,"HR",82,0
258,87.5,"145897",2021-03-08,"human resources",66,0
259,42,"122213",2022-04-05,"HR",77,0
260,26,"21109",NA,"Support!!",74,0
261,87.5,"72055",NA,"Support",88,0
262,39,"132917",2023-07-10,"VeryLongDepartmentName123",29.5,0
263,38,"105904",2017-11-28,"VeryLongDepartmentName123",52,0
264,63,"122878",2022-07-14,"human resources",92,0
265,42,"93273",2022-08-16,"VeryLongDepartmentName123",77,0
266,39,"80786",2024-07-18,"Engg",89,0
267,42,"134143",NA,"human resources",79,0
268,49,"61079",NA,"Hr",60,0
269,58,"82573",NA,"HR",70,0
270,51,"$60000",2016-06-12,"sales",60,0
271,47,"64280",2016-07-02,"human resources",60,0
272,42,"50000 ",2023-07-10,"Support",90,0
273,52,"22587",2019-09-04,"Engg",80,0
274,18,"106832",NA,"Support!!",56,0
275,57,"121968",2017-04-06,"human resources",95,0
276,39,"50737",2022-07-03,"Engg",54,0
277,47,"149586",2024-10-20,"Sales",70,0
278,20,"$60000",2019-11-28,"MKT",71,0
279,35,"82684",2024-12-08,"Engg",85,0
280,55,"77430",2023-09-27,"human resources",96,0
281,25,"28301",2015-02-20,"Support!!",86,0
282,51,"32483",2017-10-15,"Engg",29.5,0
283,42,"84990",NA,"human resources",53,0
284,33,"95108",NA,"Engg",97,0
285,53,"123780",2022-02-24,"Hr",85,0
286,32,"120586",2023-01-14,"Support",85,0
287,36,"33935",2020-07-09," SALES ",29.5,0
288,42,"2417396",2024-05-23,"Support",78,0
289,42,"92512",2020-06-01,"VeryLongDepartmentName123",61,0
290,56,"135525",2021-10-30,"VeryLongDepartmentName123",100,0
291,30,"59179",2024-08-26,"human resources",62,0
292,61,"145609",2022-10-14,"Support",85,0
293,61,"57477",2024-01-24,"Sales",77,0
294,42,"39192",NA,"HR",77,0
295,32,"51142",2023-12-16,"Support!!",74,0
296,21,"50000 ",2024-10-04,"Engg",84,0
297,30,"$60000",NA,"Support!!",77,0
298,87.5,"142879",NA,"MKT",86,0
299,51,"123056",NA,"Marketing",63,0
300,30,"127962",2015-02-06,"sales",91,0
301,61,"124360",2021-01-21,"Support!!",99,0
302,36,"50000 ",2016-11-16,"Engg",84,0
303,42,"$60000",2023-09-11,"Engineering",59,0
368,39,"43329",2017-11-25,"Engineering",77,0
305,42,"119085",2022-11-10,"Engg",56,0
306,36,"71788",2020-04-25," SALES ",77,0
307,27,"146532",2022-04-07,"human resources",59,0
308,52,NA,2023-02-21,"human resources",82,1
309,34,"50000 ",NA,"Engg",85,0
310,49,"107988",NA,"MKT",78,0
311,27,"61462",NA,"HR",91,0
312,39,"67020",2021-03-09,"sales",58,0
313,58,"30022",2015-05-08,"Engg",87,0
314,30,"67948",NA,"Support!!",82,0
315,42,"109674",2016-07-28,"Engg",86,0
316,40,"50375",NA,"Sales",100,0
317,20,"112240",2018-01-25,"Engg",86,0
318,59,"abc",2017-07-01,"Marketing",72,0
319,42,"50000 ",NA," SALES ",57,0
320,48,"97436",2019-08-11,"Sales",29.5,0
321,30,NA,2021-09-20,"MKT",96,1
322,30,"48752",2016-08-07,"Engg",82,0
323,47,"3477139",2019-04-28,"HR",59,0
324,56,"85972",NA,"Support",99,0
325,20,"143000",2023-08-15,"Engineering",98,0
326,34,"82539",2021-02-05,"Engineering",85,0
327,54,"abc",2016-09-25,"Engineering",29.5,0
328,42,"122732",2019-02-25,"Marketing",100,0
329,60,"$60000",NA,"Engineering",89,0
330,63,"81822",2015-09-20,"Hr",64,0
331,36,NA,2015-02-13,"HR",92,1
332,57,NA,NA,"sales",75,1
333,30,"115176",2021-07-15,"human resources",77,0
334,42,"73363",2020-08-22,"Engg",100,0
335,54,"abc",2020-03-02,"VeryLongDepartmentName123",66,0
336,61,"74057",2015-02-09,"Support!!",77,0
337,29,"137219",2023-07-10,"Support",65,0
338,42,"122097",2016-03-12,"Support",98,0
339,38,"137571",2020-07-03," SALES ",77,0
340,45,"85860",2022-09-12,"Engg",94,0
341,42,"abc",2017-02-05,"Marketing",29.5,0
342,44,"131978",NA,"MKT",56,0
343,42,"116802",2015-02-09," SALES ",85,0
344,37,"26253",NA,"Sales",90,0
345,87.5,"53779",2018-11-10,"human resources",91,0
346,87.5,"116537",2019-04-10,"MKT",59,0
347,57,"29351",NA,"human resources",88,0
348,41,"79020",2019-08-23," SALES ",97,0
349,23,"82021",NA,"Marketing",29.5,0
350,33,"36569",2016-11-29,"Sales",70,0
351,53,"111438",NA,"Engg",90,0
352,32,"67943",NA,"Sales",58,0
353,42,"21197",2018-04-14,"MKT",62,0
354,28,"128583",2019-03-30,"Engineering",89,0
355,30,"131867",NA,"sales",67,0
356,27,"26505",2023-07-10,"Engg",77,0
112,49,"24159",NA,"Sales",77,0
358,25,"70436",2017-10-09,"Support!!",99,0
359,61,"40789",2023-05-09,"VeryLongDepartmentName123",77,0
360,60,"1473656",NA,"MKT",50,0
361,62,"31728",2017-10-15,"Support",98,0
362,62,"4319650",2021-04-06,"Engg",78,0
363,64,"83609",2018-04-22,"Marketing",77,0
364,56,"29027",NA,"Engg",50,0
365,19,"101290",2015-09-17,"Support",85,0
366,38,"32616",2015-06-29,"Engg",62,0
367,42,"111922",NA,"HR",77,0
368,21,"136710",2023-11-28,"Support!!",96,0
369,51,"89685",NA,"Support",61,0
370,58,"112084",2016-03-02," SALES ",82,0
371,46,"92100",2019-08-16,"Engg",70,0
372,30,"4122987",2015-01-01,"Support!!",83,0
373,32,"121125",2024-03-22,"Hr",86,0
374,26,"52749",NA,"sales",63,0
375,29,"112123",2016-01-26,"MKT",29.5,0
376,45,"134004",2023-07-10,"Engg",90,0
377,30,"111457",2023-07-10,"Support!!",86,0
378,42,"82371",2021-02-23,"Engineering",77,0
379,30,"94885",2023-04-02,"Marketing",77,0
380,42,"62039",2015-04-10,"Engg",89,0
381,46,"$60000",2023-07-10,"Engg",65,0
382,27,"63499",2017-05-17,"HR",85,0
383,60,"106969",NA,"Sales",89,0
384,22,"$60000",2015-03-20,"Hr",77,0
385,49,"44434",2020-02-19,"Marketing",29.5,0
386,19,"101950",NA,"Hr",51,0
387,42,"1575713",2021-11-13,"Engg",86,0
388,52,"96156",2017-04-08,"Engg",83,0
389,30,"93051",2016-04-29," SALES ",98,0
390,65,"142322",NA,"sales",29.5,0
391,56,"67089",2020-05-06," SALES ",73,0
392,28,"45330",2017-06-30,"Support!!",54,0
393,38,"76040",2021-10-26,"Support!!",97,0
394,63,"79193",2015-06-23,"VeryLongDepartmentName123",97,0
199,21,"135919",2018-03-17,"Engg",60,0
396,46,"43562",2022-10-22,"Marketing",78,0
233,47,"105010",2023-01-21,"Support!!",77,0
398,64,"40958",2015-06-29,"Engg",92,0
399,28,"120745",NA,"sales",100,0
255,56,"50000 ",2019-08-07,"Engg",29.5,0
401,31,"$60000",2018-11-30,"Support",55,0
214,57,"95010",2020-02-09,"Support!!",55,0
403,22,"28509",2016-05-14,"Support!!",83,0
404,30,"31491",2021-10-13,"VeryLongDepartmentName123",70,0
405,26,"115575",2024-01-23," SALES ",62,0
13,65,"74346",NA,"Marketing",77,0
407,50,"34920",2019-06-11,"Support!!",62,0
408,48,"83110",2024-09-13,"Marketing",76,0
409,87.5,"50000 ",2024-12-16,"Engg",67,0
410,28,"98012",2023-06-06,"Hr",67,0
411,37,"34710",2023-09-21,"HR",80,0
412,48,"121650",2018-09-02,"Engg",83,0
413,87.5,"97894",NA,"VeryLongDepartmentName123",92,0
414,58,"45237",NA,"Engg",77,0
415,24,"61744",2023-07-10,"Engg",68,0
416,26,"26613",2015-12-19,"Engineering",87,0
417,40,"113441",2020-12-25,"sales",55,0
418,87.5,"81000",NA," SALES ",75,0
419,38,"3044751",2020-03-04,"Engg",88,0
420,63,"105124",2020-12-22,"Engg",77,0
421,42,"122801",2018-11-02,"Marketing",85,0
422,25,"92756",2016-12-22,"Hr",93,0
423,60,NA,2023-06-20,"Support",78,1
424,30,"59286",2022-08-15,"Hr",87,0
262,21,"26963",2024-03-15,"human resources",65,0
426,63,"91449",2020-04-29," SALES ",73,0
427,60,"$60000",NA,"Support",85,0
428,45,"75590",2019-04-25,"human resources",50,0
429,35,"68099",2021-05-16,"Engg",77,0
430,51,"122088",2015-11-17,"Marketing",85,0
431,52,"26917",2015-02-14,"Engg",86,0
432,36,"50000 ",2023-10-21,"MKT",87,0
433,65,"101830",2024-07-19,"Engg",100,0
434,56,"39809",2024-01-22," SALES ",83,0
435,56,"4446559",2023-08-22,"Engineering",60,0
436,87.5,NA,2018-05-19,"Engg",85,1
437,42,"78827",2020-12-11,"Support",90,0
438,35,"63904",2019-05-22,"Engg",87,0
439,29,"61060",NA,"sales",72,0
440,36,"50000 ",2017-06-07,"MKT",57,0
441,59,"137440",2017-11-03,"Hr",67,0
442,38,"56344",NA,"human resources",66,0
443,30,"2646828",NA,"HR",95,0
444,87.5,"2870164",2015-01-04,"VeryLongDepartmentName123",85,0
445,42,"115389",2015-10-15,"Marketing",94,0
446,40,"27234",2022-04-04,"sales",71,0
447,59,"146813",2018-05-09,"Support!!",72,0
448,26,"50000 ",2015-09-16,"Engg",78,0
449,39,"123255",2022-06-26,"Marketing",29.5,0
450,49,"140326",2023-07-10,"Support",58,0
451,55,"34965",2021-11-26,"HR",97,0
452,54,"146444",2023-11-23,"MKT",100,0
453,53,"50000 ",2023-07-10,"MKT",77,0
454,63,"74555",2023-08-31,"Engg",85,0
455,42,NA,2015-12-27,"Support",50,1
456,24,"149339",2020-03-16,"Engg",77,0
457,48,"85210",2018-03-13,"HR",98,0
458,30,"83577",NA,"Support!!",62,0
459,38,"1411310",NA,"sales",77,0
460,87.5,"102840",2017-04-08,"human resources",53,0
461,28,"abc",2023-07-10,"MKT",64,0
462,31,"56591",2023-04-04,"Engg",87,0
463,18,"1185489",2015-05-18,"Engineering",94,0
464,30,"73296",NA,"HR",85,0
465,65,"80786",2023-07-10,"Engineering",95,0
466,62,"3226841",NA,"Marketing",55,0
467,50,"136389",NA,"Engg",61,0
468,31,"38141",2023-06-09,"MKT",98,0
469,45,"abc",2020-11-27,"Engg",93,0
470,61,"143322",NA,"sales",68,0
471,22,"134687",2022-01-13,"Sales",84,0
472,65,"104500",2017-08-09,"Engg",71,0
473,62,"80031",2023-11-08,"Hr",100,0
474,47,"41075",2017-01-16," SALES ",95,0
163,41,"24546",2018-11-09," SALES ",60,0
476,49,"141610",2023-07-10,"Marketing",68,0
477,54,"115491",2016-04-05,"Support!!",29.5,0
478,32,"78454",2021-07-17,"Marketing",64,0
479,23,"84286",2020-09-26,"Sales",95,0
480,36,"78402",2017-06-02,"Support!!",68,0
481,44,"31282",NA,"Engg",29.5,0
482,35,"113093",2016-07-14,"HR",77,0
424,53,"116974",2023-07-10,"Engg",85,0
484,62,"abc",2015-10-01,"MKT",86,0
485,62,"116070",NA," SALES ",77,0
486,87.5,"145194",NA,"Marketing",99,0
487,52,"130755",2018-01-16,"Support",29.5,0
488,87.5,"64605",NA,"Marketing",85,0
489,62,"4366265",NA,"VeryLongDepartmentName123",94,0
490,39,"117577",NA,"Engg",69,0
491,25,"119265",2019-11-02,"Sales",80,0
492,34,"140599",NA," SALES ",77,0
493,28,"100341",2015-10-07,"sales",95,0
494,52,NA,2020-04-28,"human resources",85,1
495,45,"48085",2016-05-21,"Engg",100,0
496,87.5,"79892",2022-09-15,"Engg",68,0
497,48,"21675",2016-03-06,"Engineering",55,0
498,24,"42114",2017-03-26,"human resources",77,0
499,55,"124986",2018-12-29,"Engg",82,0
500,42,"37643",2015-05-02,"Engg",61,0
501,30,"106649",2020-07-09,"Engg",77,0
502,52,"24141",2016-05-02,"Engineering",78,0
503,37,"3961426",2019-05-13,"Engg",81,0
504,48,"93695",NA,"Engineering",68,0
505,87.5,"23525",2018-10-29,"Engineering",72,0
506,42,"139326",NA,"sales",100,0
337,44,"97068",2019-03-28,"MKT",81,0
508,50,"41840",NA,"HR",84,0
509,30,"$60000",2021-06-26,"sales",29.5,0
510,48,"125398",2021-01-20,"human resources",89,0
511,19,"44450",2022-05-30,"Engg",85,0
512,54,NA,2017-09-11," SALES ",76,1
513,42,NA,2017-08-25,"Engineering",65,1
514,45,"46475",2016-10-14,"Hr",61,0
515,19,"61144",2021-09-30,"VeryLongDepartmentName123",55,0
516,30,"88414",2023-09-10,"VeryLongDepartmentName123",55,0
517,39,"125623",2019-09-29,"HR",100,0
518,30,"61482",2022-08-28,"HR",95,0
519,56,"124718",2023-11-05,"Support",69,0
520,61,"132413",2019-05-29,"VeryLongDepartmentName123",77,0
521,59,"73253",2020-07-06,"Engg",71,0
522,50,"115581",2018-08-31,"Engg",91,0
523,26,"abc",2016-03-29," SALES ",99,0
524,38,"37499",NA,"Engg",77,0
525,54,"140994",2022-01-10,"HR",85,0
526,56,"abc",2016-04-25,"Sales",79,0
527,42,"122514",NA,"Engineering",88,0
528,44,"23771",2017-08-22,"MKT",93,0
529,38,"47815",2019-09-30,"Support!!",29.5,0
530,40,"125152",2024-01-31,"Sales",74,0
531,53,NA,2018-10-21,"VeryLongDepartmentName123",85,1
532,27,"147581",NA,"VeryLongDepartmentName123",66,0
533,28,"120096",2022-05-16,"Support",78,0
534,42,"141530",NA,"Support!!",57,0
535,31,NA,2018-01-22,"MKT",92,1
536,22,"32360",2018-03-10,"Support",87,0
537,24,"82895",2018-01-08,"MKT",52,0
538,64,"47704",2023-07-10,"Hr",85,0
539,29,"31690",2016-10-29,"Engineering",85,0
540,65,"109779",2023-07-10,"sales",77,0
541,45,"68265",2023-07-10,"Engineering",79,0
542,49,"31006",2015-11-21,"VeryLongDepartmentName123",77,0
543,36,"140232",2020-09-22,"Engineering",96,0
544,34,"$60000",2023-10-26," SALES ",85,0
545,60,"64739",2017-05-14," SALES ",56,0
546,18,"110676",2023-05-07,"MKT",89,0
547,37,NA,2022-10-21,"HR",59,1
548,52,"80742",2015-03-31,"sales",78,0
549,55,"1844474",2016-02-25,"Support",81,0
550,36,"87286",2022-08-11,"VeryLongDepartmentName123",83,0
296,42,"50000 ",2022-10-28,"Engineering",77,0
552,55,"98918",2022-05-14,"Engg",74,0
553,48,NA,2015-12-20,"Support",77,1
554,49,"59800",2017-12-04,"human resources",29.5,0
33,42,"abc",2023-08-18,"Sales",77,0
556,63,"124724",2023-06-23,"sales",52,0
557,42,"abc",2020-09-03,"Engg",100,0
558,46,"20863",2020-04-24,"human resources",100,0
559,33,"75275",NA,"Engineering",83,0
560,18,"29120",2019-07-04,"Engg",60,0
561,21,"124735",2018-04-26,"Engineering",96,0
562,51,"4860649",2024-12-14,"Marketing",100,0
563,30,"117000",NA,"Hr",69,0
564,30,"abc",2020-08-31,"sales",66,0
565,40,"20683",2017-08-25,"Engg",90,0
566,36,"95073",NA,"Marketing",29.5,0
567,42,"128584",2020-05-04,"HR",83,0
568,34,"77682",2020-06-28,"Support!!",77,0
569,50,NA,2023-05-16," SALES ",57,1
570,30,"35432",2019-03-14,"Hr",77,0
571,87.5,"$60000",NA,"human resources",86,0
572,48,"37407",2023-07-10,"Engg",59,0
573,60,"137996",2015-07-07,"Support",60,0
574,63,"104399",NA,"Marketing",83,0
575,25,"146140",NA,"HR",84,0
576,43,"64558",2019-04-14,"Hr",84,0
577,27,"108946",NA," SALES ",51,0
578,44,"50000 ",NA,"Engg",67,0
579,48,"139765",NA,"MKT",29.5,0
580,46,"46667",2019-03-10,"Marketing",77,0
581,42,"105597",NA,"Hr",74,0
